N°;text_fr;intent;text_wo;trans.
131;Bonjour je t'appelle parce que j'aurais besoin de payer ma facture SDE;PAY_BILL;Salaamaalekum. Dama woote ndax dama soxlawoona fey sama faktiiru SDE.  ;[salaːmaːlekum. dama woːte ndax dama soxlawoːna fey sama faktiːru SDE]
132;je souhaiterais payer une facture;PAY_BILL;Dama bëgga fey ab faktiir;[dama bëgːa fey ab faktiːr]
133;Bonjour Je dois payer une facture;PAY_BILL;Salaamaalekum. Dama wara fey ab faktiir.;[salaːmaːlekum. dama wara fey ab faktiːr]
134;payer une facture;PAY_BILL;Fey ab faktiir.;[fey ab faktiːr]
135;j'ai une facture à payer;PAY_BILL;Dama am ab faktiir bu ma wara fey.;[dama am ab faktiːr bu ma wara fey]
136;bonjour je viens de recevoir une facture et j'aimerais la payer comment procéder ?;PAY_BILL;Salaamaalekum. Dama jot ab faktiir te bëggoon koo fay. Naka laa koy defe?;[salaːmaːlekum. dama jot ab faktiːr te bëgːoːn koː fey. naka laː koy defe ?]
137;je dois payer une facture;PAY_BILL;Dafa am ab faktiir bu ma wara fey. ;[dafa am ab faktiːr bu ma wara fey]
138;je souhaiterais payer ma facture s'il vous plaît;PAY_BILL;Dama bëggoona fey sama faktiir.  ;[dama bëgːoːna fey sama faktiːr]
139;ma facture de courant;PAY_BILL;Sama faktiiru kuuraa.;[sama faktiːru kuːraː]
140;je dois payer une facture aujourd'hui;PAY_BILL;Tay war naa fey faktyr;[tay war naː fey faktiːr]
141;oui bonjour oui je vais faire un paiement;PAY_BILL;"Waaw, na ngeen def? waaw; dafa am lu may fey.";[waːw, na ngeːn def? waːw, dafa am lu may fey]
142;j'aimerais payer une facture;PAY_BILL;Dama bëggoona fey benn faktiir.;[dama bëgːoːna fey benː faktiːr]
143;Bonjour j'ai une facture à payer et j'aimerais savoir comment procéder;PAY_BILL;Salaamaalekum. Dama am faktiir bu ma wara fey, ma bëggoona xam naka laay def.;[salaːmalekum. dama am faktiːr buma wara fey, ma bëgːoːna xam naka laːy def]
144;Bonjour je vous contacte pour payer facture;PAY_BILL;Salaamaalekum. Dama léen woo ngir fey ab faktiir.;[salaːmalekum. dama leːn woː ngir fey ab faktiːr]
145;paiement facture;PAY_BILL;Fey ab faktiir.;[fey ab faktiːr]
146;Bonjour je vous appelle quand je souhaite régler une facture pour juste ce mois-ci au revoir;PAY_BILL;Salaamaalekum. Dinaa léen woo buma bëggee fey faktiir ci weer wii.  Ba beneen .;[salaːmaːlekum. dinaː leːn woː buma bëgːeː fey faktiːr ci weːr wiː. ba beneːn]
147;bonjour j'aimerais payer une facture;PAY_BILL;Salaamaalekum. Dama bëggoona fey ab faktiir.;[salaːmaːlekum. dama bëgːoːna fey ab faktiːr]
148;je veux payer une facture;PAY_BILL;Dama bëgga fey ab faktiir;[dama bëgːa fey ab faktiːr]
149;oui bonjour je souhaiterais payer une facture est-ce que vous pouvez m'indiquer la méthode à utiliser;PAY_BILL;Waaw, na ngéen def ? Dama bëggoona fey ab faktiir. Ndax mën ngéen maa wax ci ban anam laa koy defe ?;[waːw, na ngeːn def? dama bëgːoːna fey ab faktiːr. ndax mën ngeːn maː wax ci ban anam laː koy defe?]
150;Bonjour une facture s'il vous plaît;PAY_BILL;Salaamaalekum, ab faktiir laay laaj.;[salaːmaːlekum, ab faktiːr laːy laːj]
151;Je souhaite ouvrir un compte;OPEN_ACCOUNT;Dama bëgga ubbi ab kont.;[dama bëgːa ubːi ab kont]
152;Je souhaiterais ouvrir un compte;OPEN_ACCOUNT;Dama bëggoon ubbi ab kont.;[dama bëgːoːn ubːi ab kont]
153;Comment puis-je ouvrir un compte ?;OPEN_ACCOUNT;Naka laa mëna ubbee ab kont ?;[naka laː mëna ubːeː ab kont?]
154;Bonjour je veux ouvrir un nouveau compte;OPEN_ACCOUNT;Salaamaalekum. Dama bëgga ubbi ab kont bu bees.;[salaːmaːlekum. dama bëgːa ubːi ab kont bu beːs]
155;Quelles sont les étapes à suivre pour l'ouverture d'un compte ?;OPEN_ACCOUNT;Yan yoon lañuy topp ngir ubbi ab kont ?;[yan yoːn lañuy topː ngir ubːi ab kont?]
156;Je souhaiterais réserver une place pour Dakar;BUS_RESERVATION;Dama bëggoona jàpp palaas ngir dem Ndakaaru;[dama bëgːoːna jàpː palaːs ngir dem ndakaːru]
157;Je souhaiterais réserver une place pour Saint-louis;BUS_RESERVATION;Dama bëggoona jàpp palaas ngir dem Ndar.;[dama bëgːoːna jàpː palaːs ngir dem ndar]
158;Y a-t'il des places disponibles pour le bus du matin ?;BUS_RESERVATION;Ndax amna ay palaas yu des ci kaaru suba gi ?; [ndax amna ay palaːs yu des ci kaːru suba gi ?]
159;Y a-t'il des places disponibles pour le bus du soir ?;BUS_RESERVATION;Ndax amna ay palaas yu des ci kaaru ngoon gi ?;[ndax amna ay palaːs yu des ci kaːru ngoːn gi ?]
160;A combien s'élève le prix du ticket ?;BUS_RESERVATION;Paas bi ñaata la ?;[paːs bi ñaːta la ?]
161;Quand es-ce-que le bus du matin prend départ ?;BUS_RESERVATION;Kañ la kaaru suba gi di dem ?  ;[kañ la kaːru suba gi di dem ?]
162;Quand es-ce-que le bus du soir prend départ ?;BUS_RESERVATION;Kañ la kaaru ngoon gi di dem ?;[kañ la kaːru ngoːn gi di dem ?]
163;Je souhaite passer la visite technique de ma voiture;TECHNICAL_VISIT;Dama bëgga def sama wisit tekniku oto.;[dama bëgːa def sama wisit tekniku oto]
164;Le numéro de matricule de mon véhicule est DK1234AB;TECHNICAL_VISIT;Sama nimoro oto mooy DK 1234 AB.;[sama nimoro oto moːy DK 1234 AB]
165;Je voudrais effectuer un transfert;TRANSFER_MONEY;Dama bëgga def ab toxalu kooppar.;[dama bëgːa def ab toxalu kopːar]
166;Je souhaite envoyer de l'argent;TRANSFER_MONEY;Dama bëgga yóonee xaalis.;[dama bëgːa yoːneː xaːlis]
167;0;AMOUNT;dara;[dara]
168;1000;AMOUNT;Ñaari téemeer.;[ñaːri teːmeːr]
169;2000;AMOUNT;Ñeenti téemeer;[ñeːnti teːmeːr]
170;3000;AMOUNT;Juroom-benni téemeer.;[juroːm benːi teːmeːr]
171;4000;AMOUNT;Juroom-ñatti téemeer;[juruːm ñatːi teːmeːr]
172;5000;AMOUNT;Junni;[junːi]
173;6000;AMOUNT;Junni ak ñaari téemeer;[junːi ak ñaːri teːmeːr]
174;7000;AMOUNT;Junni ak ñeenti téemeer;[junːi ak ñeːti teːmeːr]
175;8000;AMOUNT;Junni ak juroom-benni téemeer;[junːi ak juroːm-benːi teːmeːr]
176;9000;AMOUNT;Junni ak juroom-ñatti téemeer;[junːi ak juroːm-ñatːi teːmeːr]
177;10000;AMOUNT;Ñaari junni;[ñaːri junːi]
178;20000;AMOUNT;Ñeenti junni;[ñeːnti junːi]
179;30000;AMOUNT;Juroom-benni junni;[juroːm-benːi junːi]
180;40000;AMOUNT;Juroom-ñatti junni;[juroːm-ñati junːi]
181;50000;AMOUNT;Fukki junni;[fukːi junːi]
182;60000;AMOUNT;Fukki junni ak ñaar;[fukːi junːi ak ñaːr]
183;70000;AMOUNT;Fukki junni ak ñeent;[fukːi junːi ak ñeːnt]
184;80000;AMOUNT;Fukki junni ak juroom-benn;[fukːi ɟjunːi ak juroːm-benː]
185;90000;AMOUNT;Fukki junni ak juroom-ñatt;[fukːi junːi ak juroːm-ñatː]
186;100000;AMOUNT;Ñaar-fukki junni;[ñaːr-fukːi junːi]
